transaction_id,transaction_date,transaction_time,instore_yn,quantity,line_item_amount,unit_price,promo_item_yn,first_name,last_name,position,start_date,location,home_store_bool,home_store,customer_first-name,customer_email,customer_since,loyalty_card_number,birthdate,gender,birth_year,product_group,product_category,product_type,product,product_description,unit_of_measure,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn,sales_outlet_type,store_square_feet,store_address,store_city,store_state_province,store_telephone,store_postal_code,store_longitude,store_latitude,manager,Neighorhood
343,2019-04-06,13:50:03,Y,2,6,3,N,Quail,Octavia,Coffee Wrangler,12/5/2014,5,#REF!,3,Oleg Mccray,Carson@inceptos.edu,2017-10-15,509-169-2093,1967-12-05,M,1967,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Lg,An honest cup a coffee.,24 oz,0.600000024,$3.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
401,2019-04-13,17:40:12,Y,2,7.5,3.75,N,Orson,Benedict,Coffee Wrangler,7/26/2016,7,#REF!,5,Mia,Rae@eget.net,2017-12-13,552-336-1347,1989-01-10,N,1989,Beverages,Coffee,Barista Espresso,Cappuccino,You will think you are in Venice when you sip this one. ,1.5 oz,0.75,$3.75 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
247,2019-04-07,13:29:08,N,1,3.099999905,3.099999905,N,Ronan,Magee,Coffee Wrangler,2/13/2002,5,#REF!,3,Amela Watts,Belle@nibh.net,2017-08-02,682-557-1438,1963-05-18,F,1963,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Still a front runner for good premium coffee. ,16 oz,0.620000005,$3.10 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
164,2019-04-19,07:35:23,N,1,4.25,4.25,N,Xena,Rahim,Store Manager,7/24/2016,3,#REF!,8,Phelan,Declan@dictum.net,2018-01-17,097-960-4518,1985-12-14,M,1985,Beverages,Coffee,Barista Espresso,Cappuccino Lg,You will think you are in Venice when you sip this one. ,3.0 oz,0.850000024,$4.25 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
465,2019-04-05,11:51:47,Y,1,3.25,3.25,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,5,Akeem,Summer@tortor.com,2018-08-22,583-439-3989,1987-02-12,M,1987,Food,Bakery,Scone,Cranberry Scone,Like Grandma used to make,single,2.109999895,$3.25 ,N,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
267,2019-04-20,10:55:03,N,1,2.650000095,2.650000095,Y,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,5,Slade,Edward@mi.net,2017-11-17,786-552-7269,1988-05-11,N,1988,Food,Bakery,Scone,Ginger Scone,Little bit of spice,single,2.109999895,$3.25 ,N,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
112,2019-04-11,08:47:17,N,1,3.25,3.25,N,Kylie,Candace,Coffee Wrangler,1/30/2011,10,#REF!,8,Chanda,Rowan@pellentesque.edu,2019-03-21,983-464-8781,1969-06-15,F,1969,Food,Bakery,Biscotti,Hazelnut Biscotti,Crunch!,single,2.279999971,$3.50 ,N,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
43,2019-04-11,08:31:04,Y,2,1.600000024,0.800000012,N,Adrian,Macon,Store Manager,10/13/2001,10,#REF!,8,Kadeem,Dahlia@dictum.net,2017-05-06,405-886-4701,2000-03-25,M,2000,Add-ons,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Our favorite,pump,0.039999999,$0.80 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
1712,2019-04-02,17:57:34,N,1,3,3,N,Remedios,Mari,Coffee Wrangler,5/9/2014,4,#REF!,8,Beck,Elton@dapibus.net,2018-08-26,816-825-4926,1951-11-17,M,1951,Beverages,Tea,Brewed Black tea,Earl Grey Lg,Tradition in a cup.,24 oz,0.75,$3.00 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
1598,2019-04-24,19:00:57,N,2,7.5,3.75,N,Ronan,Magee,Coffee Wrangler,2/13/2002,5,#REF!,3,Ferris Horn,Porter@laoreet.edu,2019-03-12,408-623-8368,1999-07-27,M,1999,Beverages,Coffee,Barista Espresso,Latte,You will think you are in Venice when you sip this one. ,1.5 oz,0.75,$3.75 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
114,2019-04-11,10:58:51,N,1,3.5,3.5,N,Adrian,Macon,Store Manager,10/13/2001,10,#REF!,8,Adena,Deirdre@magna.us,2018-10-04,616-982-4040,1998-08-23,F,1998,Food,Bakery,Biscotti,Ginger Biscotti,Crunch!,single,2.279999971,$3.50 ,N,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
1831,2019-04-05,18:38:16,Y,1,3.75,3.75,N,Kylie,Candace,Coffee Wrangler,1/30/2011,10,#REF!,8,Natalie,Irene@volutpat.gov,2018-02-23,322-761-0794,1954-10-17,F,1954,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Just pure notes of spice.,12 oz,2.809999943,$3.75 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
